CRIM;AGE
0.08199;42.3
0.12932;31.1
0.05372;51
0.14103;58
0.06466;20.1
0.05561;10
0.04417;47.4
0.03537;40.4
0.09266;18.4
0.1;17.7
0.05515;41.1
0.05479;58.1
0.07503;71.9
0.04932;70.3
0.49298;82.5
0.3494;76.7
263.548;37.8
0.79041;52.8
0.26169;90.4
0.26938;82.8
0.3692;87.3
0.25356;77.7
0.31827;83.2
0.24522;71.7
0.40202;67.2
0.47547;58.8
0.1676;52.3
0.18159;54.3
0.35114;49.9
0.28392;74.3
0.34109;40.1
0.19186;14.7
0.30347;28.9
0.24103;43.7
0.06617;25.8
0.06724;17.2
0.04544;32.2
0.05023;28.4
0.03466;23.3
0.05083;38.1
0.03738;38.5
0.03961;34.5
0.03427;46.3
0.03041;59.6
0.03306;37.3
0.05497;45.4
0.06151;58.5
0.01301;49.3
0.02498;59.7
0.02543;56.4
0.03049;28.1
0.03113;48.5
0.06162;52.3
0.0187;27.7
0.01501;29.7
0.02899;34.5
0.06211;44.4
0.0795;35.9
0.07244;18.5
0.01709;36.1
0.04301;21.9
0.10659;19.5
898.296;97.4
38.497;91
520.177;83.4
426.131;81.3
454.192;88
383.684;91.1
367.822;96.2
422.239;89
347.428;82.9
455.587;87.9
369.695;91.4
135.222;100
489.822;100
566.998;96.8
653.876;97.5
92.323;100
826.725;89.6
111.081;100
184.982;100
196.091;97.9
15.288;93.3
982.349;98.8
236.482;96.2
178.667;100
889.762;91.9
158.744;99.1
918.702;100
799.248;100
200.849;91.2
168.118;98.1
243.938;100
225.971;89.5
143.337;100
815.174;98.9
696.215;97
529.305;82.5
115.779;97
864.476;92.6
133.598;94.7
871.675;98.8
587.205;96
767.202;98.9
383.518;100
991.655;77.8
250.461;100
142.362;100
959.571;100
248.017;96
415.292;85.4
679.208;100
207.162;100
119.511;100
740.389;97.9
144.383;100
511.358;100
140.507;100
18.811;100
286.558;100
457.461;100
180.846;100
108.342;90.8
259.406;89.1
735.341;100
118.123;76.5
110.874;100
702.259;95.3
120.482;87.6
705.042;85.1
879.212;70.6
158.603;95.4
122.472;59.7
376.619;78.7
736.711;78.1
933.889;95.6
849.213;86.1
100.623;94.3
644.405;74.8
558.107;87.9
139.134;95
111.604;94.6
144.208;93.3
151.772;100
136.781;87.9
939.063;93.9
220.511;92.4
972.418;97.2
566.637;100
996.654;100
128.023;96.6
106.718;94.8
628.807;96.4
992.485;96.6
932.909;98.7
752.601;98.3
671.772;92.6
544.114;98.2
509.017;91.8
824.809;99.3
951.363;94.1
475.237;86.5
466.883;87.9
820.058;80.3
775.223;83.7
680.117;84.4
481.213;90
369.311;88.4
665.492;83
582.115;89.9
783.932;65.4
31.636;48.2
377.498;84.7
442.228;94.5
155.757;71
130.751;56.7
434.879;84
403.841;90.7
356.868;75
464.689;67.6
805.579;95.4
639.312;97.4
487.141;93.6
150.234;97.3
10.233;96.7
143.337;88
582.401;64.7
570.818;74.9
573.116;77
281.838;40.3
237.857;41.9
367.367;51.9
569.175;79.8
483.567;53.2
0.15086;92.7
0.18337;98.3
0.20746;98
0.10574;98.8
0.11132;83.5
0.17331;54
0.27957;42.6
0.17899;28.8
0.2896;72.9
0.26838;70.6
0.23912;65.3
0.17783;73.5
0.177783;79.7
0.06263;69.1
0.04527;76.7
0.06076;91
0.10959;89.3
0.04741;80.8
0.98765;89
0.23456;76
0.44433;98
0.77763;34
0.65432;67
